,job_title,publish,company_name,city,Description
0,Mitarbeiter (m/w/d) DMQP - Qualified Products,29.10.2022,GILDEMEISTER Beteiligungen GmbH,Bielefeld,Entwicklung und Implementierung mehrstufiger Partizipationsmodelle Durchführung vergangenheitsbezogener Datenanalysen sowie Musterableitung (Data Analytics) Abbildung der Analyseergebnisse in Microsoft PowerBI Implementierung KI-basierter Analyse- und Assistenzsysteme
1,Engineer DataOps und AIOps (m/w/d),27.10.2022,Atruvia AG,"Karlsruhe, Münster","Du arbeitest an unserer strategischen Neuausrichtung im Umfeld künstliche Intelligenz und Smart Analytics mit und gestaltest so die zukunftsgerichtete Transformation aktiv mit. Mit deinem fundierten Wissen über die Finanzdienstleistungs­branche sowie KI-Lösungen unterstützt du uns z. B. bei der Automatisierung von bankinternen Prozessen und bringst unsere Banken damit einen weiteren Schritt voran in die Zukunft. Du bist verantwortlich für den Betrieb der Datenintegrations- und KI-Anwendungen auf OpenShift und auf der Hadoop-basierten Big-Data-Analytics-Plattform. Du bist zuständig für das Incident- und Problemmanagement im Rahmen des 2nd- und 3rd-Level-Supports, bist Schnittstelle zum Herstellersupport und befindest dich in Regelrufbereitschaft. Du stellst die Betriebssicherheit und deren Dokumentation sowie die Auslieferungsgeschwindigkeit und Qualität der Anwendungen über den gesamten Produktlebenszyklus hinweg sicher."
2,DevOps Engineer Business Intelligence (BI) (m/w/d),29.10.2022,Atruvia AG,"Karslruhe, München, Münster","Du arbeitest an der strategischen Neuausrichtung der Atruvia AG im DevOps-Umfeld mit und gestaltest so den zukunftsgerichteten Wandel unseres Unternehmens. Mit deinem vielfältigen Wissen über die Finanzdienstleistungsbranche sowie KI-Lösungen unterstützt du uns z. B. bei der Automatisierung von bankinternen Prozessen und bringst unsere Banken damit einen weiteren Schritt in die Zukunft. Du fokussierst die Prozessautomatisierung rund um die Anwendungen der Omnikanalsteuerung, bist für die Überwachung der entsprechenden Prozesse verantwortlich und unterstützt bei der Auswahl neuer Technologien für unsere Big-Data-Analytics-Plattform. Du bist zuständig im Incident- und Problemmanagement im Rahmen des 2nd-Level-Supports und befindest dich in Regel-Rufbereitschaft. Du stellst die Betriebssicherheit, Auslieferungsgeschwindigkeit sowie die Qualität über den gesamten Produktlebenszyklus hinweg in der Private Cloud sicher."
3,Smart Factory Key-User Data (m/w/d),24.10.2022,Weidmüller Interface GmbH & Co. KG,Detmold,"Koordination & Administration werksinterner Datenquellen und Datenbanken Prozessoptimierungen datengetrieben erarbeiten & umsetzen Erstellung, Administration und Support von Dashboards Schnittstellenfunktion zwischen IT und Produktion Weiterentwicklung, Support und Administration werksinterner Data Analytics-, Dashboarding- und Datenbank-Anwendungen Schulungen halten & Dokumentationen erstellen"
4,Teamleiter (m/w/d) Data Services,27.10.2022,Goldbeck GmbH,Bielefeld,"Fachliche Führung sowie Weiterentwicklung eines Data Service Teams Verantwortung über die Weiterentwicklung der intern übergreifenden Datenstrategie und Data Governance im Kontext datengetriebener Analytics-Vorhaben im Business Intelligence und Data Science Umfeld Leitung von Analyse-, Strategie-, und Implementierungsprojekten (z.B. Aufbau und Weiterentwicklung cloudbasierter Datawarehouse-Lösungen) Durchführung von Innovations- und Anforderungsworkshops Aktives Management der internen Stakeholder Überwachung, Bewertung und Adaption aktueller Trends"
5,Cloud Data Engineer (m/w/d),26.10.2022,Goldbeck GmbH,Bielefeld,"Aufbau und Erweiterung unseres cloud-basierten Data Warehouse und Data Lake Analyse von Anforderungen sowie deren Bewertung zu Machbarkeit und Umsetzungsaufwand Aktive Mitgestaltung bei Architektur- und Design-Entscheidungen Implementierung, Testing und Überführung von Erweiterungen in den Regelbetrieb Agiles Arbeiten in einem kleinen Team mit großem Gestaltungsspielraum"
6,Principal Consultant für Business Intelligence (BI) im SAP HANA Projektgeschäft (m/w/d),04.10.2022,Atos,Paderborn,"You will lead the development of the global Transmission & Distribution Vertical Market sector strategy in close collaboration with the product lines and sales organisations in regional subsidiaries As the strategic partner m/f/d to the business unit leadership , you connect and analyse data from various sources (customers, field, competitors, business) to support development of growth and go-to-market strategies for the global & local T&D businesses You identify and analyse industry trends and technology advancements to find opportunities to drive technology and service innovations You will also analyse the competitive market to identify new threats and opportunities and provide recommendations based on fact-based research and business case development To ensure profitable growth and expansion of the T&D business, you identify, develop and execute T&D marketing programs & market packages It is your responsibility to develop customer value driven content for target customer segments to drive differentiation in marketplace , including T&D use cases You develop and articulate brand positioning and competitive differentiation to guide the communications activities"
7,Director Smart Grid Technologies m/f/d,27.10.2022,Phoenix Contact Electronics GmbH,Bad Pyrmont,"Übernahme von eigenständigen Aufgaben inkl. Koordination, Administration und Automation (von Shell bis Python) zum Betrieb der Data Analytics Plattform (bestehend aus IBM Cloud Pak for Data, Exasol, GitLab, etc.). Bedienen, Designen und Anpassen von Überwachung & Monitoring Tools Unterstützung und Mitwirkung bei der Betreuung ausgewählter Projekte"
8,Werkstudent Data Analytics System Engineer (m/w/d),30.10.2022,Finanz Informatik GmbH & Co. KG,"Hannover, Münster","Verstehen und Anlegen von Prozessen für Stammdaten, hier speziell Betriebsmittel / Equipments Unterstützung bei der Umstellung von manuellen / papierbasierten Prozessen mit systemgestützter Erfassung auf digitale Prozesse Mitarbeit bei der Stammdatenanlage für Produktionsstammdaten im Zusammenhang mit einem Management Execution System (MES) Unterstützung bei der Einführung einer Software im Bereich Process Mining / Data-Analytics, um bestehende Daten und Prozesse auszuwerten und zu verbessern Erstellung der erforderlichen Dokumentation bzw. Schulungsunterlagen"
9,Werkstudent * im Bereich strategisches Produktionsmanagement,19.10.2022,Weidmüller Interface GmbH & Co. KG,Detmold,"Du erlernst das technische Know-how, um wirtschaftliche Prozesse unternehmensseitig zu verbessern"
